CHANGE_NO,PROJECT_NAME,PROJECT_MANAGER,CHANGE_TYPE,DESCRIPTION,DATE_IDENTIFIED,STATUS,PRIORITY,ASSIGNED_TO,RESOLUTION_EXPECTED,ACTION,AREA_OF_IMPACT,ESCALATION_REQUIRED,DATE_RESOLVED,SYSTEM_AFFECTED,ESTIMATED_DURATION_HOURS,TEAM_SIZE,COMPLEXITY_SCORE,REQUIRES_DOWNTIME,HAS_DEPENDENCIES,BUSINESS_IMPACT,TECHNICAL_RISK,CONFLICT_PROBABILITY,HAS_CONFLICT
CR-01325,مشروع آل جعفر-المهيدب,مريم خليل,Monitoring,إضافة دعم اللغات المتعددة للموقع الإلكتروني,17/04/2025,Open,High,إبراهيم العتيبي,6 Days,تدريب فريق الدعم الفني على التحديثات والمزايا الجديدة,Security,NO,,Backup System,7,7,6.3,NO,NO,Medium,Low,0.405,1
CR-01326,مشروع أبو داوود and Sons,عبدالرحمن الحربي,Frontend,تحديث بروتوكولات الأمان للشبكة الداخلية,29/06/2025,Open,High,مريم خليل,7 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Security,NO,,CDN Service,9,3,7.7,YES,YES,Medium,Low,0.327,0
CR-01327,مشروع الدباغ-الدباغ,إبراهيم العتيبي,Security,إضافة نظام إشعارات فورية للمستخدمين عبر البريد الإلكتروني,29/03/2025,Approved,Medium,نور عبدالله,7 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Schedule,NO,09/04/2025,Cache Server,27,3,2.7,NO,NO,Low,Medium,0.163,0
CR-01328,مشروع Reese-Underwood,مريم خليل,Frontend,إضافة ميزة التصدير إلى ملفات Excel و PDF,12/03/2025,In Progress,High,عمر حسان,6 Days,تنفيذ التحديث خلال ساعات الصيانة المجدولة مع فريق متخصص,Security,NO,,API Gateway,6,1,9.0,NO,NO,Low,Low,0.464,0
CR-01329,مشروع Maxwell Inc,عبدالرحمن الحربي,Backend,إصلاح مشكلة تحميل الملفات الكبيرة أكثر من 100 ميجا,07/07/2025,Rejected,Low,أحمد السعودي,18 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Quality,NO,,Backup System,64,8,4.6,YES,YES,Medium,Low,0.548,0
CR-01330,مشروع آل العسكري PLC,عائشة الزهراني,API,إصلاح مشكلة في حفظ إعدادات المستخدم الشخصية,23/08/2025,Complete,Medium,حسان الراشد,7 Days,إشعار جميع المستخدمين قبل التطبيق بـ 24-48 ساعة,Quality,YES,04/09/2025,Load Balancer,15,7,2.4,YES,NO,High,Medium,0.244,0
CR-01331,"مشروع Bradley, Hall and Hall",عبدالرحمن الحربي,Database,تحديث API لدعم الإصدار الجديد من التطبيق المحمول,20/07/2025,Open,High,خديجة المطيري,3 Days,إنشاء نسخة احتياطية كاملة قبل تطبيق أي تغييرات,Schedule,NO,,Email Service,21,7,1.5,NO,NO,High,Low,0.627,0
CR-01332,مشروع آل حسين-العقيل,يوسف محمود,Analytics,إضافة نظام إشعارات فورية للمستخدمين عبر البريد الإلكتروني,11/04/2025,In Progress,High,عبدالرحمن الحربي,2 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Scope,NO,,Load Balancer,22,10,6.9,YES,NO,Medium,Medium,0.541,1
CR-01333,"مشروع حجار, العقيل and فصيل",أسماء الغامدي,Database,إضافة نظام إشعارات فورية للمستخدمين عبر البريد الإلكتروني,12/04/2025,Needs Review,High,زينب القرشي,3 Days,تنسيق مع فريق الأمان وإجراء مراجعة أمنية كاملة,Schedule,NO,,Email Service,7,7,8.2,YES,YES,Low,Medium,0.647,0
CR-01334,مشروع Christian Group,نور عبدالله,Integration,إضافة تقارير تحليلية تفاعلية لفريق الإدارة,11/08/2025,Open,Medium,عائشة الزهراني,9 Days,تنفيذ اختبارات الحمولة للتأكد من استقرار النظام,Scope,NO,,Authentication Service,19,10,8.7,NO,YES,Medium,Low,0.066,0
CR-01335,مشروع Martin and Sons,عبدالرحمن الحربي,Backend,تحديث بروتوكولات الأمان للشبكة الداخلية,12/07/2025,In Progress,High,رقية الشمري,6 Days,إنشاء نسخة احتياطية كاملة قبل تطبيق أي تغييرات,Quality,NO,,Email Service,11,7,3.6,NO,NO,Low,High,0.68,1
CR-01336,مشروع آل الشيخ-آل معيض,نور عبدالله,Integration,إصلاح مشكلة في عرض البيانات على الأجهزة المحمولة,01/03/2025,Complete,Low,أسماء الغامدي,18 Days,تدريب فريق الدعم الفني على التحديثات والمزايا الجديدة,Compliance,NO,26/03/2025,Email Service,34,1,2.7,NO,NO,High,Medium,0.083,0
CR-01337,مشروع Newton and Sons,أسماء الغامدي,Documentation,إصلاح مشكلة في عرض البيانات على الأجهزة المحمولة,09/04/2025,Open,Low,إبراهيم العتيبي,15 Days,إشعار جميع المستخدمين قبل التطبيق بـ 24-48 ساعة,Schedule,YES,,Authentication Service,9,4,5.4,NO,NO,High,Low,0.0,0
CR-01338,مشروع آل عايض Group,فاطمة علي,Frontend,إصلاح مشكلة انقطاع الاتصال مع الخادم الرئيسي,18/05/2025,In Progress,Medium,عائشة الزهراني,13 Days,تحديث جميع الوثائق الفنية والمستندات ذات الصلة,Budget,NO,,Audit System,37,9,2.7,NO,YES,Medium,Medium,0.173,1
CR-01339,"مشروع Nguyen, Ellis and Wright",عبدالرحمن الحربي,Database,إضافة دعم اللغات المتعددة للموقع الإلكتروني,05/03/2025,Rejected,Medium,إبراهيم العتيبي,13 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Compliance,NO,,Reporting System,35,6,7.2,NO,NO,High,High,0.682,0
CR-01340,مشروع Franklin Group,سارة محمد,Analytics,إضافة ميزة البحث الصوتي في التطبيق,20/08/2025,Approved,Low,سارة محمد,26 Days,إنشاء نسخة احتياطية كاملة قبل تطبيق أي تغييرات,Budget,NO,17/09/2025,SMS Gateway,47,5,9.8,NO,NO,Low,Medium,0.171,0
CR-01341,مشروع Carr-Newton,نور عبدالله,Configuration,إضافة نظام إشعارات فورية للمستخدمين عبر البريد الإلكتروني,25/04/2025,Open,Critical,عبدالعزيز الدوسري,3 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Budget,NO,,Authentication Service,6,3,6.8,NO,NO,Low,Low,0.133,1
CR-01342,"مشروع آل خضير, الشايع and العجلان",يوسف محمود,Analytics,تحديث نظام المصادقة الثنائية لمزيد من الأمان,07/04/2025,In Progress,High,حسان الراشد,7 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Scope,NO,,Audit System,13,1,6.5,NO,NO,Medium,Low,0.399,1
CR-01343,مشروع المغاولة PLC,عمر حسان,Database,إضافة ميزة التصدير إلى ملفات Excel و PDF,15/04/2025,Approved,High,فاطمة علي,5 Days,تنسيق مع فريق الأمان وإجراء مراجعة أمنية كاملة,Security,YES,21/04/2025,Audit System,17,1,6.7,NO,NO,High,Medium,0.663,1
CR-01344,"مشروع Williams, Hughes and Hubbard",عبدالرحمن الحربي,API,إضافة ميزة النسخ الاحتياطي التلقائي للبيانات المهمة,03/04/2025,In Progress,High,عبدالرحمن الحربي,3 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Quality,NO,,API Gateway,5,1,2.0,YES,NO,Medium,Medium,0.86,0
CR-01345,مشروع آل مقطة Group,نور عبدالله,API,إصلاح مشكلة في واجهة تسجيل الدخول التي تؤثر على المستخدمين,15/08/2025,In Progress,High,فاطمة علي,2 Days,تدريب فريق الدعم الفني على التحديثات والمزايا الجديدة,Budget,YES,,Database Server,14,8,2.2,NO,NO,High,Medium,1.0,1
CR-01346,مشروع Ayala-Mitchell,يوسف محمود,Monitoring,إصلاح مشكلة في واجهة تسجيل الدخول التي تؤثر على المستخدمين,22/05/2025,In Progress,Critical,مريم خليل,2 Days,تدريب فريق الدعم الفني على التحديثات والمزايا الجديدة,Scope,NO,,Cache Server,4,7,4.4,NO,NO,Low,Medium,0.459,0
CR-01347,مشروع آل مقطة-حنبولي,مريم خليل,Mobile,إضافة ميزة البحث الصوتي في التطبيق,18/04/2025,Open,Medium,إبراهيم العتيبي,7 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Quality,NO,,User Management System,33,5,2.6,NO,YES,Low,Medium,0.295,0
CR-01348,"مشروع المغاولة, آل سلطان and العجلان",محمد الأحمد,Infrastructure,تحديث قاعدة البيانات الرئيسية لتحسين الأداء وزيادة السرعة,19/03/2025,Rejected,Low,عبدالعزيز الدوسري,27 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Performance,YES,,User Management System,52,3,2.4,NO,YES,Medium,Medium,0.688,1
CR-01349,مشروع Sharp Inc,عائشة الزهراني,Configuration,تحديث بروتوكولات الأمان للشبكة الداخلية,08/05/2025,Open,Medium,علي المالكي,5 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Budget,YES,,Web Server,41,4,7.4,NO,YES,High,High,0.058,0
CR-01350,"مشروع المهنا, آل سعود and الخرافي",فاطمة علي,Integration,تحسين أداء استعلامات قاعدة البيانات المعقدة,19/07/2025,In Progress,High,عبدالرحمن الحربي,3 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Quality,YES,,SMS Gateway,24,5,2.7,NO,NO,Medium,Medium,0.375,0
CR-01351,مشروع Hayes-White,خالد إبراهيم,Mobile,إضافة نظام إشعارات فورية للمستخدمين عبر البريد الإلكتروني,26/05/2025,In Progress,Medium,أحمد السعودي,13 Days,مراجعة الكود مع الفريق التقني وإجراء code review,Schedule,YES,,Email Service,27,3,1.2,YES,NO,Medium,Medium,0.216,0
CR-01352,مشروع آل حسين-آل محمد بن علي بن جماز,حسان الراشد,Database,إصلاح مشكلة في واجهة تسجيل الدخول التي تؤثر على المستخدمين,27/06/2025,Complete,Low,نور عبدالله,13 Days,تدريب فريق الدعم الفني على التحديثات والمزايا الجديدة,Budget,NO,12/07/2025,Backup System,48,8,7.5,NO,YES,Low,Medium,0.444,0
CR-01353,"مشروع Wong, Dawson and Martin",مريم خليل,Configuration,إضافة دعم اللغات المتعددة للموقع الإلكتروني,17/03/2025,Needs Review,Low,فاطمة علي,28 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Performance,NO,,Backup System,4,5,9.6,NO,NO,Medium,Medium,0.0,0
CR-01354,مشروع آل رفيع Ltd,ليلى سعيد,Monitoring,إصلاح مشكلة في واجهة تسجيل الدخول التي تؤثر على المستخدمين,05/04/2025,On Hold,Medium,فاطمة علي,8 Days,تنفيذ التحديث خلال ساعات الصيانة المجدولة مع فريق متخصص,Performance,NO,,User Management System,48,7,9.6,NO,NO,Low,Low,0.313,1
CR-01355,"مشروع Cox, Mills and Cruz",عبدالعزيز الدوسري,Monitoring,إضافة نظام مراقبة الأداء في الوقت الفعلي,18/07/2025,Approved,High,عائشة الزهراني,4 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Resources,YES,26/07/2025,Load Balancer,15,7,8.6,YES,NO,Low,Low,0.387,1
CR-01356,مشروع المهيدب-الحكير,سارة محمد,Infrastructure,إصلاح مشكلة في حفظ إعدادات المستخدم الشخصية,28/04/2025,Approved,Medium,سارة محمد,6 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Schedule,YES,08/05/2025,CDN Service,12,1,2.9,YES,YES,Medium,High,0.439,1
CR-01357,مشروع الجابر PLC,رقية الشمري,Mobile,تحديث واجهة المستخدم للتوافق مع الأجهزة المحمولة الحديثة,09/06/2025,Approved,High,زينب القرشي,2 Days,مراقبة مكثفة للأداء بعد التطبيق لمدة أسبوع كامل,Budget,NO,17/06/2025,Notification Service,16,9,1.1,NO,NO,Medium,Low,0.483,0
CR-01358,مشروع آل سلطان and Sons,فاطمة علي,Analytics,إضافة تقارير تحليلية تفاعلية لفريق الإدارة,20/03/2025,In Progress,High,سارة محمد,5 Days,إشعار جميع المستخدمين قبل التطبيق بـ 24-48 ساعة,Schedule,NO,,SMS Gateway,5,4,5.6,NO,NO,Medium,Medium,0.244,1
CR-01359,مشروع أبا الخيل-أبا الخيل,عمر حسان,Documentation,إصلاح مشكلة في واجهة تسجيل الدخول التي تؤثر على المستخدمين,08/06/2025,In Progress,Critical,مريم خليل,1 Days,اختبار التوافق مع جميع الأنظمة والتطبيقات المرتبطة,Resources,NO,,Database Server,1,8,3.7,YES,NO,Medium,High,0.739,1
CR-01360,مشروع Sims-Wilson,عائشة الزهراني,Frontend,إصلاح مشكلة في حفظ إعدادات المستخدم الشخصية,06/06/2025,In Progress,Medium,إبراهيم العتيبي,8 Days,إعداد خطة طوارئ للتراجع في حالة حدوث مشاكل,Performance,YES,,Database Server,5,8,4.8,NO,NO,Medium,Medium,0.205,0
CR-01361,مشروع آل الشيخ PLC,محمد الأحمد,Integration,إضافة نظام إشعارات فورية للمستخدمين عبر البريد الإلكتروني,13/06/2025,In Progress,High,يوسف محمود,5 Days,تدريب فريق الدعم الفني على التحديثات والمزايا الجديدة,Security,NO,,Reporting System,2,3,8.4,NO,YES,Medium,Low,0.261,0
CR-01362,مشروع Ellis Group,عبدالعزيز الدوسري,Infrastructure,إضافة ميزة التصفية المتقدمة في نظام البحث العام,16/06/2025,Needs Review,Critical,إبراهيم العتيبي,2 Days,إنشاء نسخة احتياطية كاملة قبل تطبيق أي تغييرات,Quality,NO,,Backup System,7,8,1.2,YES,NO,Medium,Low,1.0,1
CR-01363,"مشروع العليان, آل قصير and آل علي",عبدالعزيز الدوسري,Infrastructure,تحديث قاعدة البيانات الرئيسية لتحسين الأداء وزيادة السرعة,10/03/2025,Open,Medium,عمر حسان,11 Days,إجراء اختبارات شاملة قبل النشر في بيئة الإنتاج,Budget,NO,,Analytics Platform,31,8,6.3,NO,YES,Medium,High,0.53,0
